x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-250.00000E-03,-659.70477E-03,+5.01271980E+00,+110.08166E-03,+212.46859E-03
-249.93490E-03,-669.12688E-03,+5.01271980E+00,+109.45352E-03,+212.78266E-03
-249.86979E-03,-678.54899E-03,+5.01334794E+00,+110.70980E-03,+212.78266E-03
-249.80469E-03,-687.65703E-03,+5.01271980E+00,+110.08166E-03,+212.78266E-03
-249.73958E-03,-697.39321E-03,+5.01271980E+00,+110.08166E-03,+212.78266E-03
-249.67448E-03,-705.87311E-03,+5.01334794E+00,+109.45352E-03,+212.46859E-03
-249.60938E-03,-714.98115E-03,+5.01334794E+00,+110.08166E-03,+212.78266E-03
-249.54427E-03,-725.03140E-03,+5.01240573E+00,+109.13945E-03,+213.09673E-03
-249.47917E-03,-734.76758E-03,+5.01334794E+00,+109.45352E-03,+213.09673E-03
-249.41406E-03,-743.24748E-03,+5.01240573E+00,+109.76759E-03,+212.46859E-03
-249.34896E-03,-752.04145E-03,+5.01271980E+00,+109.76759E-03,+212.46859E-03
-249.28385E-03,-760.52135E-03,+5.01209165E+00,+109.13945E-03,+213.09673E-03
-249.21875E-03,-770.88567E-03,+5.01240573E+00,+108.51131E-03,+212.15452E-03
-249.15365E-03,-780.30778E-03,+5.01271980E+00,+110.08166E-03,+212.15452E-03
-249.08854E-03,-790.35803E-03,+5.01146351E+00,+110.08166E-03,+212.46859E-03
-249.02344E-03,-800.72235E-03,+5.01209165E+00,+110.08166E-03,+211.84045E-03
-248.95833E-03,-810.45853E-03,+5.01334794E+00,+109.13945E-03,+211.84045E-03
-248.89323E-03,-821.76507E-03,+5.01271980E+00,+108.82538E-03,+212.46859E-03
-248.82813E-03,-832.12939E-03,+5.01209165E+00,+108.19724E-03,+213.09673E-03
-248.76302E-03,-843.43592E-03,+5.01209165E+00,+108.82538E-03,+211.21231E-03
-248.69792E-03,-854.11431E-03,+5.01209165E+00,+108.82538E-03,+211.52638E-03
-248.63281E-03,-863.85049E-03,+5.01271980E+00,+109.45352E-03,+212.78266E-03
-248.56771E-03,-873.90074E-03,+5.01240573E+00,+107.88316E-03,+212.15452E-03
-248.50260E-03,-882.69471E-03,+5.01303387E+00,+108.51131E-03,+212.15452E-03
-248.43750E-03,-892.74497E-03,+5.01334794E+00,+108.51131E-03,+211.52638E-03
-248.37240E-03,-901.85301E-03,+5.01271980E+00,+108.51131E-03,+211.52638E-03
-248.30729E-03,-911.27512E-03,+5.01209165E+00,+107.56909E-03,+211.52638E-03
-248.24219E-03,-921.01130E-03,+5.01114944E+00,+107.88316E-03,+211.52638E-03
-248.17708E-03,-929.49120E-03,+5.01146351E+00,+107.56909E-03,+211.52638E-03
-248.11198E-03,-939.22738E-03,+5.01114944E+00,+107.88316E-03,+211.21231E-03
-248.04688E-03,-948.02135E-03,+5.01271980E+00,+108.51131E-03,+211.21231E-03
-247.98177E-03,-957.12939E-03,+5.01146351E+00,+107.25502E-03,+210.89824E-03
-247.91667E-03,-965.60929E-03,+5.01240573E+00,+107.56909E-03,+211.52638E-03
-247.85156E-03,-975.34547E-03,+5.01209165E+00,+107.56909E-03,+211.52638E-03
-247.78646E-03,-983.51130E-03,+5.01146351E+00,+107.88316E-03,+211.84045E-03
-247.72135E-03,-992.61934E-03,+5.01209165E+00,+106.94095E-03,+211.52638E-03
-247.65625E-03,-1.00266959E+00,+5.01146351E+00,+107.56909E-03,+211.52638E-03
-247.59115E-03,-1.01240577E+00,+5.01240573E+00,+107.88316E-03,+211.52638E-03
-247.52604E-03,-1.02182788E+00,+5.01209165E+00,+107.88316E-03,+211.84045E-03
-247.46094E-03,-1.03093592E+00,+5.01240573E+00,+107.56909E-03,+211.21231E-03
-247.39583E-03,-1.04004396E+00,+5.01240573E+00,+108.19723E-03,+211.84045E-03
-247.33073E-03,-1.04852386E+00,+5.01240573E+00,+107.56909E-03,+211.52638E-03
-247.26563E-03,-1.05668969E+00,+5.01209165E+00,+107.56909E-03,+212.46859E-03
-247.20052E-03,-1.06611180E+00,+5.01240573E+00,+107.25502E-03,+210.27010E-03
-247.13542E-03,-1.07427763E+00,+5.01146351E+00,+106.62688E-03,+210.58417E-03
-247.07031E-03,-1.08212939E+00,+5.01114944E+00,+108.19723E-03,+211.21231E-03
-247.00521E-03,-1.09029522E+00,+5.01146351E+00,+107.25502E-03,+210.58417E-03
-246.94010E-03,-1.09940326E+00,+5.01114944E+00,+106.94095E-03,+211.21231E-03
-246.87500E-03,-1.10913944E+00,+5.01240573E+00,+106.62688E-03,+210.27010E-03
-246.80990E-03,-1.11793341E+00,+5.01209165E+00,+107.25502E-03,+210.58417E-03
-246.74479E-03,-1.12609923E+00,+5.01209165E+00,+107.56909E-03,+210.27010E-03
-246.67969E-03,-1.13614949E+00,+5.01271980E+00,+108.19723E-03,+211.52638E-03
-246.61458E-03,-1.14462939E+00,+5.01240573E+00,+106.62688E-03,+211.52638E-03
-246.54948E-03,-1.15436557E+00,+5.01209165E+00,+107.25502E-03,+211.52638E-03
-246.48438E-03,-1.16253140E+00,+5.01240573E+00,+106.94095E-03,+211.52638E-03
-246.41927E-03,-1.17226758E+00,+5.01271980E+00,+107.25502E-03,+211.52638E-03
-246.35417E-03,-1.18043341E+00,+5.01209165E+00,+106.94095E-03,+210.58417E-03
-246.28906E-03,-1.18954145E+00,+5.01209165E+00,+106.94095E-03,+210.58417E-03
-246.22396E-03,-1.19802134E+00,+5.01146351E+00,+106.94095E-03,+211.21231E-03
-246.15885E-03,-1.20555903E+00,+5.01209165E+00,+106.31281E-03,+211.21231E-03
-246.09375E-03,-1.21341079E+00,+5.01209165E+00,+106.94095E-03,+211.52638E-03
-246.02865E-03,-1.22251883E+00,+5.01240573E+00,+106.94095E-03,+211.52638E-03
-245.96354E-03,-1.23162687E+00,+5.01146351E+00,+106.94095E-03,+211.84045E-03
-245.89844E-03,-1.23947863E+00,+5.01209165E+00,+106.94095E-03,+210.58417E-03
-245.83333E-03,-1.24921481E+00,+5.01146351E+00,+106.31281E-03,+210.58417E-03
