x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
+6.66000000E-03,+1.92278572059E+00,+165.75065314E-03,-127.21421834E-03,-12.39000400E-03
+6.66002604E-03,+1.92325681104E+00,+174.07348785E-03,-128.78457448E-03,-13.33221756E-03
+6.66005208E-03,+1.91948803344E+00,+166.69293705E-03,-129.88374343E-03,-13.96033564E-03
+6.66007813E-03,+1.92592631666E+00,+175.80080253E-03,-120.77596652E-03,-11.44777034E-03
+6.66010417E-03,+1.91697555985E+00,+167.32103755E-03,-136.63617050E-03,-9.56335579E-03
+6.66013021E-03,+1.92576924757E+00,+169.36255951E-03,-126.74315993E-03,-8.62130429E-03
+6.66015625E-03,+1.91870261385E+00,+174.23058647E-03,-129.09869696E-03,-15.84458939E-03
+6.66018229E-03,+1.91069414849E+00,+175.64379437E-03,-131.45416804E-03,-7.99321699E-03
+6.66020833E-03,+1.91556206740E+00,+172.97420583E-03,-131.45419317E-03,-15.05944618E-03
+6.66023438E-03,+1.91446266980E+00,+170.93275170E-03,-132.23916301E-03,-10.19131369E-03
+6.66026042E-03,+1.90928051345E+00,+169.20568451E-03,-127.21449472E-03,-4.69561338E-03
+6.66028646E-03,+1.90472679993E+00,+175.64364110E-03,-134.12371073E-03,-13.01773703E-03
+6.66031250E-03,+1.90755309764E+00,+170.46142193E-03,-132.86760521E-03,-3.75328801E-03
+6.66033854E-03,+1.90315611150E+00,+164.49472288E-03,-135.37960644E-03,-8.30715480E-03
+6.66036458E-03,+1.89907393693E+00,+171.24689303E-03,-126.90012161E-03,-9.56328292E-03
+6.66039063E-03,+1.90849494499E+00,+171.40395710E-03,-126.42870327E-03,-7.99311334E-03
+6.66041667E-03,+1.89891647462E+00,+172.03192945E-03,-120.77641941E-03,-9.56336081E-03
+6.66044271E-03,+1.90048669382E+00,+169.99052810E-03,-130.82585649E-03,-9.40629297E-03
+6.66046875E-03,+1.90001627612E+00,+168.89161668E-03,-128.31315928E-03,-8.77799147E-03
+6.66049479E-03,+1.90912300403E+00,+172.50281952E-03,-124.07452931E-03,-5.95159766E-03
+6.66052083E-03,+1.90048617309E+00,+167.94949734E-03,-137.42081370E-03,-6.42324527E-03
+6.66054688E-03,+1.89357728372E+00,+172.34653938E-03,-128.78439860E-03,-13.64588966E-03
+6.66057292E-03,+1.89483365305E+00,+177.21317060E-03,-126.74320955E-03,-8.93524398E-03
+6.66059896E-03,+1.89703196647E+00,+165.28042890E-03,-127.84189672E-03,-9.09264097E-03
+6.66062500E-03,+1.89718867061E+00,+174.85900983E-03,-122.81742944E-03,-13.17483313E-03
+6.66065104E-03,+1.89389170394E+00,+178.15522273E-03,-124.85876924E-03,-9.56271131E-03
+6.66067708E-03,+1.89844461532E+00,+166.06465816E-03,-125.64430755E-03,-2.96903677E-03
+6.66070313E-03,+1.89216357330E+00,+165.43736295E-03,-129.88339230E-03,-13.96006742E-03
+6.66072917E-03,+1.88949475613E+00,+172.65984904E-03,-125.95830629E-03,-11.29135577E-03
+6.66075521E-03,+1.89389046524E+00,+169.52035348E-03,-129.25491052E-03,-16.62991727E-03
+6.66078125E-03,+1.88713894334E+00,+176.89934020E-03,-122.66151739E-03,-16.31569491E-03
+6.66080729E-03,+1.88886612296E+00,+170.14808589E-03,-133.65160897E-03,-14.74580423E-03
+6.66083333E-03,+1.88886708779E+00,+173.75916562E-03,-125.17195705E-03,-16.94352153E-03
+6.66085938E-03,+1.89640165554E+00,+171.56126552E-03,-118.89353062E-03,-13.01853854E-03
+6.66088542E-03,+1.88007292206E+00,+173.91661034E-03,-135.37853106E-03,-16.00070245E-03
+6.66091146E-03,+1.88572502375E+00,+174.85825354E-03,-124.23057201E-03,-7.83629174E-03
+6.66093750E-03,+1.88289846976E+00,+171.71776363E-03,-124.38790179E-03,-10.03458945E-03
+6.66096354E-03,+1.88069978260E+00,+170.14708023E-03,-126.58572902E-03,-10.82039598E-03
+6.66098958E-03,+1.87724573490E+00,+166.38036922E-03,-124.23055003E-03,-15.84401401E-03
+6.66101563E-03,+1.87865903262E+00,+176.74149849E-03,-124.23199539E-03,-10.81908881E-03
+6.66104167E-03,+1.87991401250E+00,+166.38002500E-03,-133.49492178E-03,-7.21000407E-03
+6.66106771E-03,+1.87300670354E+00,+174.07356888E-03,-129.09784206E-03,-20.71098819E-03
+6.66109375E-03,+1.87991427381E+00,+174.38618947E-03,-124.23089299E-03,-9.24948519E-03
+6.66111979E-03,+1.87488899308E+00,+166.06664121E-03,-126.27195327E-03,-10.34857374E-03
+6.66114583E-03,+1.86907969102E+00,+177.21294949E-03,-125.95804750E-03,-10.50632814E-03
+6.66117188E-03,+1.86908223500E+00,+169.99156390E-03,-126.58571018E-03,-14.74476842E-03
+6.66119792E-03,+1.88321170091E+00,+175.32846961E-03,-124.54505380E-03,-10.50549522E-03
+6.66122396E-03,+1.87693106593E+00,+168.10780451E-03,-126.89967562E-03,-10.03444686E-03
+6.66125000E-03,+1.87488875627E+00,+176.74163794E-03,-124.38800731E-03,-9.87846634E-03
+6.66127604E-03,+1.86845222746E+00,+169.04962296E-03,-126.58573907E-03,-15.21657558E-03
+6.66130208E-03,+1.87190676385E+00,+175.32942188E-03,-124.86022968E-03,-14.90099642E-03
+6.66132813E-03,+1.87410459234E+00,+173.44451172E-03,-132.55171639E-03,-7.05125657E-03
+6.66135417E-03,+1.87300390453E+00,+169.20673351E-03,-124.23051736E-03,-9.24965981E-03
+6.66138021E-03,+1.86499521178E+00,+175.48500290E-03,-124.07481323E-03,-10.97688718E-03
+6.66140625E-03,+1.85761809065E+00,+166.85220591E-03,-130.19649594E-03,-11.91822008E-03
+6.66143229E-03,+1.86672323061E+00,+177.52573466E-03,-123.76103371E-03,-8.77816044E-03
+6.66145833E-03,+1.86248421370E+00,+165.90782902E-03,-130.98126854E-03,-8.62305933E-03
+6.66148438E-03,+1.86248439272E+00,+166.53611545E-03,-122.97358835E-03,-17.10023573E-03
+6.66151042E-03,+1.86326840590E+00,+167.79232900E-03,-119.99202119E-03,-13.48750146E-03
+6.66153646E-03,+1.85902951399E+00,+168.73417321E-03,-126.11449033E-03,-5.95241425E-03
+6.66156250E-03,+1.85934290720E+00,+168.10814056E-03,-124.07336410E-03,-9.56340855E-03
+6.66158854E-03,+1.85683186703E+00,+176.27250793E-03,-123.44437792E-03,-9.71887336E-03
